"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N188AA",1964,"Fixed wing single engine","BEECH","35-C33",1,4,138,"Reciprocating"
"N188US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N189AA",1959,"Fixed wing single engine","BEECH","K35",1,5,150,"Reciprocating"
"N189UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N190AA",2001,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N190DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N190UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N19117",1996,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N19130",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N19136",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N191AA",1959,"Fixed wing single engine","BEECH","K35",1,5,150,"Reciprocating"
"N191DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N191UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N192AA",1959,"Fixed wing single engine","BEECH","K35",1,5,150,"Reciprocating"
"N192UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N193AA",1979,"Fixed wing multi engine","MITSUBISHI","MU-2B-60",2,10,NA,"Turbo-prop"
"N193DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N193UW",2008,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N194AA",2001,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N194UW",NA,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N195AA",1978,"Fixed wing multi engine","PIPER","PA-31T",2,8,162,"Turbo-prop"
"N195UW",2008,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N196AA",2001,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N196UW",2009,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N197AA",1981,"Rotorcraft","BELL","206B",1,5,112,"Turbo-shaft"
"N197UW",2009,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N198AA",2001,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N198DN",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N198UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N199AA",1958,"Fixed wing single engine","BEECH","K35",1,5,150,"Reciprocating"
"N199UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N200WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N201FR",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N201LV",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N202FR",2008,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N202WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N203FR",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N203WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N204UW",2000,"Fixed wing multi engine","BOEING","757-23N",2,178,NA,"Turbo-fan"
"N204WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N205FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N205WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N206FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N206UW",1995,"Fixed wing multi engine","BOEING","757-2B7",2,178,NA,"Turbo-fan"
"N206WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N207FR",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N207WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N208WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N209WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N210FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N210WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N21108",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N211FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N211WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N212WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N213FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N213WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N214WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N215AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N215WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N216AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N216FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N216WR",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N21723",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N217AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N217JC",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N218AG",2005,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N218FR",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N218WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N219AG",2006,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N219FR",2002,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N219WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N220FR",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N220WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N221FR",2007,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N221WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N222WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N223AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N223FR",2006,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N223WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N224AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N224AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N224WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N225AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N225WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N226WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N227AG",2001,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"N227FR",2014,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N227WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N228FR",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N228WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N229FR",2013,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N229WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N230FR",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N230WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N231WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N232FR",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N232WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N233FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N233LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N234WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N235FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N235WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N236AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N236FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N236WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N23707",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N23708",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N23721",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N237AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N237WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N238AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N238WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N239WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N240SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N240WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N241SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N241WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N24202",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24211",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24212",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N24224",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N242SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N242WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N243SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N243WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N244SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N244WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N245WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N246LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N246SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N24702",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N24706",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N24715",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N24729",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N24736",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N247AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N247SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N247WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N248AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N248WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N249WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N250SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N250WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N251AK",NA,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N251SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N251WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N25201",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N252SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N252WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N253AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N253SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N253WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N254SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N254WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N255WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N256WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N25705",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N257WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N258WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N259WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N260AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N260WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N261WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N26208",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N26210",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N26215",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N26226",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N26232",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N262WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N263AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N263WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N264AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,NA,"Turbo-fan"
"N264LV",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N265AK",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N265WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N266AK",2016,"Fixed wing multi engine","BOEING","737-900ER",2,222,NA,"Turbo-fan"
"N266WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N267WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N268WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N269WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N270WN",1998,"Fixed wing multi engine","BOEING","737-705",2,149,NA,"Turbo-fan"
"N271LV",NA,"Fixed wing multi engine","BOEING","737-705",2,149,NA,"Turbo-fan"
"N27205",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N27213",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N27239",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N27246",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N272WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N273WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N27421",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N27477",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N274WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N275WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N276WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N27722",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N27724",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N27733",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N27734",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N277WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N278WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N279WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N280WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N281VA",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N281WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N282VA",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N282WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N283VA",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N283WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N28457",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N28478",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"N284VA",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N284WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N285VA",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N285WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N286VA",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N286WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N287WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N288WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N289CT",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N290WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N29124",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N291WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N292WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N293WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N294WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N295WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N296WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N29717",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N297WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N298WN",NA,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N299WN",NA,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"N301NB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N302AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N302NB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N303AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N30401",2001,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N305AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N306AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N307AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N309AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N309US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N310NW",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N311US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N312US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N313US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N31412",2002,"Fixed wing multi engine","BOEING","737-924",2,191,NA,"Turbo-fan"
"N314NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N314US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N315AS",2002,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N315NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N315US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N316NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N316US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N317AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N317NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N317US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N317WN",1988,"Fixed wing multi engine","BOEING","737-3Q8",2,149,NA,"Turbo-fan"
"N318AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N318NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N318US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N319AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N319NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N319US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N320AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
"N320NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N320US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N321NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N321US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N322NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"N322US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,NA,"Turbo-jet"
"N323AS",2004,"Fixed wing multi engine","BOEING","737-990",2,149,NA,"Turbo-fan"
